,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
72,2021-06-04,645.5176793736089,555.7496390755673,706.875193329997,645.5176793736089,645.5176793736089,-11.64588728282476,-11.64588728282476,-11.64588728282476,-11.64588728282476,-11.64588728282476,-11.64588728282476,0.0,0.0,0.0,633.8717920907841
73,2021-06-07,644.8074689175568,569.8374482141585,720.8766157551232,644.8074689175568,644.8074689175568,-1.1722415224907041,-1.1722415224907041,-1.1722415224907041,-1.1722415224907041,-1.1722415224907041,-1.1722415224907041,0.0,0.0,0.0,643.6352273950661
74,2021-06-08,644.9412631857052,567.7064071542349,714.0869464988026,644.9412631857052,644.9412631857052,-4.6619431771542486,-4.6619431771542486,-4.6619431771542486,-4.6619431771542486,-4.6619431771542486,-4.6619431771542486,0.0,0.0,0.0,640.2793200085509
75,2021-06-09,645.0750574538534,567.8056564125807,717.4959201988532,645.0750574538534,645.0750574538534,-0.999157430026387,-0.999157430026387,-0.999157430026387,-0.999157430026387,-0.999157430026387,-0.999157430026387,0.0,0.0,0.0,644.0759000238271
76,2021-06-10,645.2088517220018,553.3488852269223,709.8693860758752,645.2088517220018,645.2088517220018,-9.32706537002686,-9.32706537002686,-9.32706537002686,-9.32706537002686,-9.32706537002686,-9.32706537002686,0.0,0.0,0.0,635.8817863519749
77,2021-06-11,645.3426459901502,561.7904400218939,713.6172968300206,645.3426459901502,645.3426459901502,-11.645887282810286,-11.645887282810286,-11.645887282810286,-11.645887282810286,-11.645887282810286,-11.645887282810286,0.0,0.0,0.0,633.69675870734
78,2021-06-14,645.7440287945952,575.1393029351983,716.4080184487319,645.7440287945952,645.7440287945952,-1.1722415225038414,-1.1722415225038414,-1.1722415225038414,-1.1722415225038414,-1.1722415225038414,-1.1722415225038414,0.0,0.0,0.0,644.5717872720913
79,2021-06-15,645.8778230627436,561.4111916591162,714.859560349372,645.8778230627436,645.8778230627436,-4.661943177146024,-4.661943177146024,-4.661943177146024,-4.661943177146024,-4.661943177146024,-4.661943177146024,0.0,0.0,0.0,641.2158798855976
80,2021-06-16,646.011617330892,572.271405034814,726.097753350968,646.011617330892,646.011617330892,-0.999157430019106,-0.999157430019106,-0.999157430019106,-0.999157430019106,-0.999157430019106,-0.999157430019106,0.0,0.0,0.0,645.012459900873
81,2021-06-17,646.1454115990404,558.877768695017,706.8854007781164,646.1454115990404,646.1454115990404,-9.327065369996447,-9.327065369996447,-9.327065369996447,-9.327065369996447,-9.327065369996447,-9.327065369996447,0.0,0.0,0.0,636.8183462290439
82,2021-06-18,646.6577335699429,557.655595658697,708.5078410280387,646.6577335699429,646.6577335699429,-11.645887282863137,-11.645887282863137,-11.645887282863137,-11.645887282863137,-11.645887282863137,-11.645887282863137,0.0,0.0,0.0,635.0118462870798
83,2021-06-21,648.1946994826504,565.7902501913806,721.0332673499388,648.1946994826504,648.1946994826504,-1.17224152251698,-1.17224152251698,-1.17224152251698,-1.17224152251698,-1.17224152251698,-1.17224152251698,0.0,0.0,0.0,647.0224579601335
84,2021-06-22,648.7070214535529,566.0763046485118,717.3414071404925,648.7070214535529,648.7070214535529,-4.661943177179575,-4.661943177179575,-4.661943177179575,-4.661943177179575,-4.661943177179575,-4.661943177179575,0.0,0.0,0.0,644.0450782763734
85,2021-06-23,649.2193434244556,576.8762961693571,726.3041754386386,649.2193434244556,649.2193434244556,-0.999157430037455,-0.999157430037455,-0.999157430037455,-0.999157430037455,-0.999157430037455,-0.999157430037455,0.0,0.0,0.0,648.2201859944181
86,2021-06-24,649.731665395358,568.2669980309759,723.7588893507749,649.731665395358,649.731665395358,-9.327065370002675,-9.327065370002675,-9.327065370002675,-9.327065370002675,-9.327065370002675,-9.327065370002675,0.0,0.0,0.0,640.4046000253554
87,2021-06-25,650.2439873662606,559.0212093261738,710.8644786439253,650.2439873662606,650.2439873662606,-11.645887282852472,-11.645887282852472,-11.645887282852472,-11.645887282852472,-11.645887282852472,-11.645887282852472,0.0,0.0,0.0,638.5981000834081
88,2021-06-28,651.7809532789681,576.997951242583,729.0573337164927,651.7809532789681,651.7809532789681,-1.1722415224608476,-1.1722415224608476,-1.1722415224608476,-1.1722415224608476,-1.1722415224608476,-1.1722415224608476,0.0,0.0,0.0,650.6087117565073
89,2021-06-29,652.2932752498708,570.5706493903256,723.3493458211249,652.2932752498708,652.2932752498708,-4.661943177157482,-4.661943177157482,-4.661943177157482,-4.661943177157482,-4.661943177157482,-4.661943177157482,0.0,0.0,0.0,647.6313320727133
90,2021-06-30,652.9401490355573,577.1930737954856,730.268646284588,652.9401490355573,652.9401490355573,-0.9991574300301735,-0.9991574300301735,-0.9991574300301735,-0.9991574300301735,-0.9991574300301735,-0.9991574300301735,0.0,0.0,0.0,651.9409916055271
91,2021-07-01,653.5870228212439,569.7837798001509,719.7289356762155,653.5870228212439,653.5870228212439,-9.327065370008905,-9.327065370008905,-9.327065370008905,-9.327065370008905,-9.327065370008905,-9.327065370008905,0.0,0.0,0.0,644.259957451235
92,2021-07-02,654.2338966069304,568.1627374275291,717.5246563826049,654.2338966069304,654.2338966069304,-11.645887282841805,-11.645887282841805,-11.645887282841805,-11.645887282841805,-11.645887282841805,-11.645887282841805,0.0,0.0,0.0,642.5880093240886
93,2021-07-06,656.8213917496768,575.1549420397401,729.837608470877,656.8213917496768,656.8213917496768,-4.661943177163127,-4.661943177163127,-4.661943177163127,-4.661943177163127,-4.661943177163127,-4.661943177163127,0.0,0.0,0.0,652.1594485725136
94,2021-07-07,657.4682655353633,581.2273954866866,734.0877971365026,657.4682655353633,657.4682655353633,-0.999157430035708,-0.999157430035708,-0.999157430035708,-0.999157430035708,-0.999157430035708,-0.999157430035708,0.0,0.0,0.0,656.4691081053277
95,2021-07-08,658.1151393210499,576.6686283223395,721.2011122157921,658.1151393210499,658.1151393210499,-9.327065370015132,-9.327065370015132,-9.327065370015132,-9.327065370015132,-9.327065370015132,-9.327065370015132,0.0,0.0,0.0,648.7880739510348
96,2021-07-09,658.7620131067366,569.370153923845,721.4092490215104,658.7620131067366,658.7620131067366,-11.645887282827333,-11.645887282827333,-11.645887282827333,-11.645887282827333,-11.645887282827333,-11.645887282827333,0.0,0.0,0.0,647.1161258239093
97,2021-07-12,660.7026344637961,587.64764233518,729.9088053658871,660.7026344637961,660.7026344637961,-1.1722415224871243,-1.1722415224871243,-1.1722415224871243,-1.1722415224871243,-1.1722415224871243,-1.1722415224871243,0.0,0.0,0.0,659.5303929413091
98,2021-07-13,661.54985773659,582.4052968392284,728.4364116456042,661.54985773659,661.54985773659,-4.661943177154902,-4.661943177154902,-4.661943177154902,-4.661943177154902,-4.661943177154902,-4.661943177154902,0.0,0.0,0.0,656.8879145594351
99,2021-07-14,662.3970810093837,587.5469829088656,735.8312154945895,662.3970810093837,662.3970810093837,-0.9991574300268294,-0.9991574300268294,-0.9991574300268294,-0.9991574300268294,-0.9991574300268294,-0.9991574300268294,0.0,0.0,0.0,661.3979235793569
100,2021-07-15,663.2443042821774,575.4627021057446,723.2245940699246,663.2443042821774,663.2443042821774,-9.327065369984718,-9.327065369984718,-9.327065369984718,-9.327065369984718,-9.327065369984718,-9.327065369984718,0.0,0.0,0.0,653.9172389121927
101,2021-07-16,664.091527554971,577.5542068814356,725.7957556876237,664.091527554971,664.091527554971,-11.64588728282047,-11.64588728282047,-11.64588728282047,-11.64588728282047,-11.64588728282047,-11.64588728282047,0.0,0.0,0.0,652.4456402721505
102,2021-07-19,666.6331973733521,588.176340767279,733.4284456989744,666.6331973733521,666.6331973733521,-1.1722415224431668,-1.1722415224431668,-1.1722415224431668,-1.1722415224431668,-1.1722415224431668,-1.1722415224431668,0.0,0.0,0.0,665.4609558509089
103,2021-07-20,667.4804206461458,588.2518852237346,737.5944405857834,667.4804206461458,667.4804206461458,-4.661943177160547,-4.661943177160547,-4.661943177160547,-4.661943177160547,-4.661943177160547,-4.661943177160547,0.0,0.0,0.0,662.8184774689853
